Name,Component,Package,Value,Qty,
D1-D18,Diode,SOD-123(F),-,18,
J1,Crenshaw OLED,64x128,SSD1306,1,
R1,Resistor,0603,10k,1,
SW1,Reset Switch,TL3342,-,2,
SW2-SW19,Kailh Hotswap Sockets,SMD,-,18,
"SW20, SW21",Rotary Encoder,EC11,,2,
"SW32, SW65",5-way switch,10x10x9,,2,
U1,Pro Micro Sockets,Peelaway,12 x 2.54mm,2,
Tray-mount case,,,,,
-,Plate,-,-,1,
-,Standoff,M2 x 3H x 3.5D mm,-,4,
-,Standoff,M2 x 3.5H x 3.5D mm,-,4,
-,Screw,M2 x 3mm,,4,
-,Screw,M2 x 6mm,,4,
-,Tray,,,1,
Fully Wireless,,,,,
-,LiPo Battery,802030,400mAH,1,
OLED,,,,,
-,OLED sockets,4 x 2.54mm,315-XX-XXX-41-003000,1,
-,Standoff,M2 x 2.5H x 3.5D mm,,2,
-,Screw,M2 x 6mm,,2,
-,Screw,M2 x 3mm,,2,
